ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,uptrend,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,price_wash_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
A32,UPCOM,Hàng cá nhân & Gia dụng,,,,1.7,3.5,2.6,0.1,-0.1,,100.0,74.6,46.5,0.2,,,,,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),,,-0.91,-3.51,,,,0.02,0.03,0.02,,,,,0.0,,33.4,40.0,0.0,,,Bán,0.0,2.0,,,MACD Histogram < 0 và tăng dần,0.2,0.1,0.1,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-0.6,-4.67,,2.77,-4.67,5.89,100.81,Không,50.0,,,,,,,,-22.9,-45.5,17.9,188.9,Giá nằm dưới SMA(100),,2.77,0.6,0.9,0.8,0.4,51.0,,,,,,,,,,,,,,,,-8.4,-4.3,-6.1,-8.2
AAA,HSX,Hóa chất,3008.0,5.1,2.5,1.5,3.0,4.0,-0.2,1.0,,45.4,50.5,1.9,0.4,10.9,0.6,5.1,3.6,,Giá nằm dưới SMA(20),1.27,6.66,27.36,-7.87,15.33,5.7,0.5,15.64,16.14,18.78,64.0,34.0,44.0,16.0,6.66,Mua < Bán,7.64,39.1,1.92,40.0,,Bán mạnh,-2242.0,,1.0,698.0,MACD Histogram < 0 và tăng dần,0.5,0.4,0.5,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.26,-5.56,,-0.65,-5.56,-10.71,-22.04,Không,50.0,-39.9,-9.9,274.9,-17.0,30.1,-3.1,-66.4,-14.4,-65.1,24.3,243.0,Giá nằm dưới SMA(100),,-0.65,1883.9,1975.8,1893.5,2603.3,74.8,5.0,,,,,,,2.3,,,,,,,698.0,-2.0,-4.7,-5.9,-3.2
AAH,UPCOM,Tài nguyên Cơ bản,423.0,1.5,2.5,1.1,,4.2,-0.1,0.8,,65.1,40.1,11.1,0.4,24.0,0.4,14.8,0.0,,Giá nằm dưới SMA(20),404.43,,2.6,,3.27,0.03,0.1,4.07,4.75,3.95,93.0,74.0,0.0,,2.32,,3.6,35.1,0.0,56.0,,Bán mạnh,0.0,,1.0,149.0,MACD Histogram < 0 và tăng dần,0.6,0.5,0.6,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-6.95,-12.2,,-0.08,-12.2,-14.02,,Có,75.0,-20.6,-5.7,17.6,,,,,-43.8,-82.7,9.1,11.2,Giá nằm dưới SMA(100),,-0.08,999.2,1203.9,997.4,1421.4,,1.0,-15.1,,0.5,0.0,245.0,0.4,1.2,,,,,,1202.0,149.0,-14.2,-8.4,-12.1,-12.4
AAM,HSX,Thực phẩm và đồ uống,73.0,0.7,,1.2,,4.2,-0.1,0.4,,100.0,13.0,22.3,2.4,52.4,0.4,-1.8,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),12.23,-6.62,,,10.69,0.94,0.0,0.03,0.04,0.06,28.0,51.0,75.0,45.0,0.07,,7.03,47.4,0.8,50.0,,Bán,-1.0,1.0,,134.0,MACD Histogram > 0 và tăng dần,5.3,2.6,3.1,1.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-1.68,0.43,,0.43,0.43,0.43,-30.78,Có,30.0,132.4,47.7,1.4,-14.7,89.2,,,-8.6,-58.2,17.4,38.6,Giá nằm dưới SMA(100),,0.43,2.0,4.0,3.4,8.6,6.2,0.0,-34.0,-64.6,-0.4,0.0,42.0,0.4,0.7,,,,,,199.0,134.0,-0.4,-0.2,-1.7,-1.6
AAS,UPCOM,Dịch vụ tài chính,2195.0,6.3,2.7,3.8,2.8,3.6,0.0,1.1,,29.9,37.3,0.0,0.3,13.6,0.8,8.8,0.0,,Giá nằm dưới SMA(20),-37.58,24.91,-15.27,6.06,80.33,48.8,0.6,26.3,48.52,35.89,49.0,14.0,59.0,76.0,13.45,,9.7,34.2,0.08,50.0,,Bán mạnh,101.0,,1.0,703.0,MACD Histogram < 0 và giảm dần,0.6,0.3,0.4,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-13.79,-11.5,,-1.49,-11.5,41.92,152.58,Có,100.0,-57.3,-28.3,161.6,143.0,9.5,600.3,-1.0,-60.6,-59.7,79.6,206.4,Giá nằm dưới SMA(100),,-1.49,2392.6,4308.9,3191.8,3072.5,0.4,3.0,72.3,482.0,0.1,112.0,230.0,4.1,4.0,,,,111.1,5000.0,2653.0,703.0,-3.2,-10.2,-28.0,-16.8
AAT,HSX,Hàng cá nhân & Gia dụng,254.0,0.0,2.3,1.4,2.9,3.2,-0.1,0.6,,70.9,12.2,55.0,1.0,-1588.5,0.4,13.9,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-2.73,14.49,,,10.62,2.86,0.5,0.18,0.16,0.16,34.0,63.0,14.0,15.0,0.16,,3.59,45.2,0.76,32.0,,Trung tính,0.0,2.0,,-2.0,MACD Histogram < 0 và tăng dần,1.0,1.1,1.2,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.97,-6.27,,2.87,-6.27,7.16,,Không,85.0,-135.4,-24.9,-0.2,-0.3,1.3,270.1,349.7,-10.0,-80.8,48.4,38.1,Giá nằm trên SMA(100),,2.87,44.1,39.4,38.4,79.4,,1.0,,,,,,,0.0,,,,,,,-2.0,7.8,-2.9,-2.1,3.7
AAV,HNX,Bất động sản,393.0,-1.5,2.1,1.0,3.5,3.2,-0.2,1.0,,65.3,19.6,16.5,0.6,-35.4,0.5,629.4,0.0,,Giá nằm dưới SMA(20),-47.36,-41.2,,,4.92,,0.1,1.97,2.09,2.35,12.0,13.0,2.0,17.0,1.29,Mua < Bán,5.7,43.9,0.12,11.0,,Bán,-17.0,,1.0,-161.0,MACD Histogram < 0 và giảm dần,0.7,0.7,0.6,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.39,0.0,,-1.72,0.0,3.64,-10.73,Không,75.0,-17.8,-7.4,-11.1,4359.8,4888.2,,,-40.0,-81.6,9.6,103.6,Giá nằm dưới SMA(100),,-1.72,302.3,335.7,398.6,493.2,2.0,1.0,,,,,,,-1.2,,,,,,,-161.0,-15.8,-2.6,-3.6,-9.7
ABB,UPCOM,Ngân hàng,13889.0,8.8,3.0,2.0,3.0,2.2,0.2,0.7,,52.3,31.7,1.7,0.8,10.9,0.9,,0.0,,Giá nằm trên SMA(20),4.27,4.43,29.12,-17.27,,38.26,,83.64,75.18,52.64,93.0,90.0,95.0,88.0,79.63,,13.5,64.5,16.5,92.0,,Mua mạnh,620.0,0.0,0.0,1228.0,MACD Histogram > 0 và tăng dần,1.1,1.1,1.5,1.1,,Giá nằm trên SMA(50),,,,,,Trung tính,5.61,11.78,,0.77,11.78,75.42,,Không,60.0,,,1271.2,55.3,48.8,208.4,116.3,-5.6,-17.9,121.3,140.3,Giá nằm trên SMA(100),,0.77,5216.7,5182.5,3983.8,5550.4,34.2,,,,,,,,0.7,2.7,2.3,,,,,1228.0,43.8,5.7,6.5,20.8
ABC,UPCOM,Viễn thông,240.0,1.8,2.7,1.1,3.5,4.2,-0.1,0.7,,46.6,30.7,0.6,1.7,27.2,0.5,-16.1,0.0,,Giá nằm trên SMA(20),6.33,-12.95,-73.31,-23.75,2.17,1.26,0.4,1.29,0.75,0.62,42.0,21.0,6.0,11.0,1.82,,11.6,70.6,0.9,20.0,,Mua mạnh,0.0,2.0,,433.0,MACD Histogram > 0 và tăng dần,1.8,2.9,4.1,3.3,,Giá nằm trên SMA(50),,,,,,Trung tính,10.48,11.04,Tín hiệu mua,3.33,11.04,12.23,2.59,Có,60.0,-40.0,-11.1,8.8,-0.1,156.3,-55.1,225.0,-34.8,-46.3,33.3,195.7,Giá nằm trên SMA(100),,3.33,84.3,52.0,37.2,46.3,28.3,0.0,-13.5,88.8,-0.4,4.0,317.0,0.2,1.1,,,,-72.07,-76.25,503.0,433.0,4.6,8.2,10.2,10.3
ABI,UPCOM,Bảo hiểm,1960.0,17.1,2.5,1.3,3.0,4.0,0.0,0.5,,79.9,29.6,30.0,0.5,7.1,1.2,-3.0,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),,,-16.9,-18.95,,,0.0,2.24,1.61,1.29,56.0,38.0,37.0,51.0,1.26,Mua > Bán,19.5,38.9,11.92,46.0,,Bán mạnh,179.0,,1.0,2712.0,MACD Histogram < 0 và tăng dần,0.6,0.9,1.0,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.48,-4.37,,0.35,-4.37,13.59,64.9,Có,35.0,5.5,2.3,274.9,13.1,10.6,,-15.1,-15.2,-21.4,20.8,3666.0,Giá nằm dưới SMA(100),,0.35,102.9,75.5,64.0,102.9,68.1,2.0,-4.4,-17.3,0.1,54.0,609.0,,6.2,,,,67.53,1.16,1702.0,2712.0,-4.2,-4.7,-6.8,-6.2
